 TITLE = "Projeto1" 
 VARIABLES = "X" "Y" "X_ksi" "X_eta" "Y_ksi" "Y_eta" "J" 
 ZONE I =           24  J =          13  DATAPACKING = POINT
    8.4500000000E-06  -35.2790031400E+00   10.3063182700E+00 -374.9449900000E-03    4.2332348100E+00  927.0470700000E-03   89.7531330707E-03
   10.3063267200E+00  -31.0457683300E+00    9.3732333050E+00 -323.7444700000E-03    3.8499778050E+00  816.5967900000E-03  112.3524653783E-03
   18.7464750600E+00  -27.5790475300E+00    7.6760114050E+00 -280.8075700000E-03    3.1528579050E+00  726.5437600000E-03  154.7435580469E-03
   25.6583495300E+00  -24.7400525200E+00    6.2861012700E+00 -244.8115600000E-03    2.5819638700E+00  653.1242200000E-03  211.0729016577E-03
   31.3186776000E+00  -22.4151197900E+00    5.1478648350E+00 -214.6408300000E-03    2.1144427100E+00  593.2689100000E-03  285.0697107023E-03
   35.9540792000E+00  -20.5111671000E+00    4.2157310650E+00 -189.3557500000E-03    1.7315765050E+00  544.4750900000E-03  381.2073151497E-03
   39.7501397300E+00  -18.9519667800E+00    3.4523805400E+00 -168.1662500000E-03    1.4180366250E+00  504.7017500000E-03  504.8239966951E-03
   42.8588402800E+00  -17.6750938500E+00    2.8272513650E+00 -150.4091400000E-03    1.1612700100E+00  472.2842200000E-03  662.2815551524E-03
   45.4046424600E+00  -16.6294267600E+00    2.3153155800E+00 -135.5284300000E-03  950.9965000000E-03  445.8647300000E-03  861.1746664191E-03
   47.4894714400E+00  -15.7731008500E+00    2.1013541100E+00 -123.0583500000E-03  813.0822850000E-03  424.3357300000E-03    1.0083326649E+00
   49.6073506800E+00  -15.0032621900E+00    2.1458991800E+00 -102.3515300000E-03  681.6260950000E-03  405.2146100000E-03    1.0646053941E+00
   51.7812698000E+00  -14.4098486600E+00    2.1946047900E+00  -83.2020800000E-03  503.1966900000E-03  391.0009300000E-03    1.1111610823E+00
   53.9965602600E+00  -13.9968688100E+00    2.2285014850E+00  -65.2000300000E-03  321.3695300000E-03  381.7946000000E-03    1.1470742650E+00
   56.2382727700E+00  -13.7671096000E+00    2.2473596700E+00  -47.9286300000E-03  137.3756950000E-03  377.6599500000E-03    1.1691503734E+00
   58.4912796000E+00  -13.7221174200E+00    2.2531733750E+00  -30.9674400000E-03   -1.3008050000E-03  378.6250900000E-03    1.1722399202E+00
   60.7446195200E+00  -13.7697112100E+00    2.5313514350E+00  -26.7411900000E-03  -53.4660500000E-03  379.9083200000E-03    1.0413935989E+00
   63.5539824700E+00  -13.8290495200E+00    3.1559752250E+00  -22.1047300000E-03  -66.6593250000E-03  381.5208000000E-03  831.5339588162E-03
   67.0565699700E+00  -13.9030298600E+00    3.9347281200E+00  -17.1063800000E-03  -83.1078500000E-03  383.5467500000E-03  663.2485013933E-03
   71.4234387100E+00  -13.9952652200E+00    4.9056422350E+00  -11.8415900000E-03 -103.6151300000E-03  386.0918900000E-03  528.3173575190E-03
   76.8678544400E+00  -14.1102601200E+00    6.1161343300E+00   -6.4729500000E-03 -129.1826900000E-03  389.2888700000E-03  420.1492083529E-03
   83.6557073700E+00  -14.2536306000E+00    7.6253214950E+00   -1.2571600000E-03 -161.0591800000E-03  393.3042200000E-03  333.4590867926E-03
   92.1184974300E+00  -14.4323784800E+00    9.5069082350E+00    3.4187700000E-03 -200.8013450000E-03  398.3468500000E-03  264.0101303966E-03
  102.6695238400E+00  -14.6552332900E+00   11.8527767350E+00    6.9890500000E-03 -250.3501450000E-03  404.6789300000E-03  208.4063312837E-03
  115.8240509000E+00  -14.9330787700E+00   13.1545270600E+00    8.6447100000E-03 -277.8454800000E-03  412.6294600000E-03  184.1502847657E-03
 -374.9365400000E-03  -34.3519560700E+00   10.3575187900E+00 -409.6142350000E-03    4.1227845300E+00    1.0322255050E+00   80.7751422071E-03
    9.9825822500E+00  -30.2291715400E+00    9.4203020150E+00 -353.5975650000E-03    3.7497261500E+00  909.1707050000E-03  101.1065437812E-03
   18.4656674900E+00  -26.8525037700E+00    7.7154778600E+00 -306.5987350000E-03    3.0711216200E+00  808.8250950000E-03  139.2355444592E-03
   25.4135379700E+00  -24.0869283000E+00    6.3191846400E+00 -267.1790250000E-03    2.5153264450E+00  727.0010800000E-03  189.8939746409E-03
   31.1040367700E+00  -21.8218508800E+00    5.1755927400E+00 -234.1241150000E-03    2.0601181450E+00  660.2832500000E-03  256.4312619089E-03
   35.7647234500E+00  -19.9666920100E+00    4.2389683550E+00 -206.4104300000E-03    1.6872929250E+00  605.8861600000E-03  342.8641431056E-03
   39.5819734800E+00  -18.4472650300E+00    3.4718538450E+00 -183.1767250000E-03    1.3819411900E+00  561.5379000000E-03  453.9847877579E-03
   42.7084311400E+00  -17.2028096300E+00    2.8435702750E+00 -163.6995350000E-03    1.1318515000E+00  525.3852450000E-03  595.5027289076E-03
   45.2691140300E+00  -16.1835620300E+00    2.3289909750E+00 -147.3719000000E-03  927.0222550000E-03  495.9164000000E-03  774.2323992593E-03
   47.3664130900E+00  -15.3487651200E+00    2.1179425600E+00 -133.6850650000E-03  792.7572250000E-03  471.8980100000E-03  904.6231558281E-03
   49.5049991500E+00  -14.5980475800E+00    2.1658273150E+00 -111.2785200000E-03  664.9586950000E-03  450.5339100000E-03  952.5857419378E-03
   51.6980677200E+00  -14.0188477300E+00    2.2131805400E+00  -90.6007600000E-03  491.4866850000E-03  434.6169450000E-03  993.6260555650E-03
   53.9313602300E+00  -13.6150742100E+00    2.2461382100E+00  -71.1968750000E-03  314.6990400000E-03  424.2590500000E-03    1.0252729249E+00
