 TITLE = "Projeto1" 
 VARIABLES = "X" "Y" "u" "v" "rho" "p" 
 ZONE I =           24  J =          13  DATAPACKING = POINT
    8.4500000000E-06  -35.2790031400E+00    0.0000000000E+00    0.0000000000E+00    1.1977799324E+00  101.3600000000E+03
   10.3063267200E+00  -31.0457683300E+00 -191.8036555446E-03  307.6682883610E-03    1.0778875275E+00  902.1608659537E+03
   18.7464750600E+00  -27.5790475300E+00 -149.3169117050E-03  220.2290286445E-03    1.0777407964E+00  655.0191774893E+03
   25.6583495300E+00  -24.7400525200E+00 -112.0688290517E-03  161.1519626953E-03    1.0775948923E+00  480.2132239774E+03
   31.3186776000E+00  -22.4151197900E+00  -85.3224590887E-03  119.0303073194E-03    1.0774490537E+00  355.5621489808E+03
   35.9540792000E+00  -20.5111671000E+00  -65.9386738521E-03   88.7322947318E-03    1.0773026211E+00  265.8920623214E+03
   39.7501397300E+00  -18.9519667800E+00  -51.7543153637E-03   66.7344744633E-03    1.0771550036E+00  200.7828471763E+03
   42.8588402800E+00  -17.6750938500E+00  -41.2712836768E-03   50.6067967661E-03    1.0770057093E+00  153.0466894699E+03
   45.4046424600E+00  -16.6294267600E+00  -29.8281285371E-03   39.6895244357E-03    1.0768545757E+00  117.6996997083E+03
   47.4894714400E+00  -15.7731008500E+00  -19.8187618849E-03   36.4746772141E-03    1.0745852932E+00  100.5223803925E+03
   49.6073506800E+00  -15.0032621900E+00  -13.8382370852E-03   37.0480625872E-03    1.0717474883E+00   95.2089856664E+03
   51.7812698000E+00  -14.4098486600E+00   -9.8828959995E-03   36.6663966176E-03    1.0710827227E+00   91.2198972157E+03
   53.9965602600E+00  -13.9968688100E+00   -6.1950559052E-03   36.3370338480E-03    1.0705945363E+00   88.3639384342E+03
   56.2382727700E+00  -13.7671096000E+00   -2.6857483713E-03   36.1162645693E-03    1.0703352415E+00   86.6954345956E+03
   58.4912796000E+00  -13.7221174200E+00    2.2541805689E-03   35.4620418542E-03    1.0734846875E+00   86.4669407677E+03
   60.7446195200E+00  -13.7697112100E+00    7.8677170322E-03   39.2780518381E-03    1.0766367981E+00   97.3311145893E+03
   63.5539824700E+00  -13.8290495200E+00   10.9952357158E-03   49.0943676650E-03    1.0768791689E+00  121.8952017081E+03
   67.0565699700E+00  -13.9030298600E+00   11.4059146684E-03   61.1627395615E-03    1.0771200649E+00  152.8235636334E+03
   71.4234387100E+00  -13.9952652200E+00   11.9231748355E-03   76.3886302416E-03    1.0773597413E+00  191.8543807302E+03
   76.8678544400E+00  -14.1102601200E+00   12.5762753319E-03   95.6515080314E-03    1.0775984076E+00  241.2476265845E+03
   83.6557073700E+00  -14.2536306000E+00   13.4033448874E-03  120.1035870646E-03    1.0778364345E+00  303.9653234120E+03
   92.1184974300E+00  -14.4323784800E+00   14.4544708898E-03  151.2681995872E-03    1.0780742005E+00  383.9246577345E+03
  102.6695238400E+00  -14.6552332900E+00   28.2580612303E-03  190.9235315741E-03    1.0783120631E+00  486.3575786799E+03
  115.8240509000E+00  -14.9330787700E+00    0.0000000000E+00    0.0000000000E+00  399.2599774615E-03   33.7866666667E+03
 -374.9365400000E-03  -34.3519560700E+00    0.0000000000E+00    0.0000000000E+00    1.1977799324E+00    1.2548414924E+06
    9.9825822500E+00  -30.2291715400E+00 -191.8036555446E-03  307.6682883610E-03    1.1977792593E+00  101.3599816755E+03
   18.4656674900E+00  -26.8525037700E+00 -149.3169117050E-03  220.2290286445E-03    1.1977792462E+00  101.3599901307E+03
   25.4135379700E+00  -24.0869283000E+00 -112.0688290517E-03  161.1519626953E-03    1.1977793458E+00  101.3599946288E+03
   31.1040367700E+00  -21.8218508800E+00  -85.3224590887E-03  119.0303073194E-03    1.1977794273E+00  101.3599970100E+03
   35.7647234500E+00  -19.9666920100E+00  -65.9386738521E-03   88.7322947318E-03    1.1977794938E+00  101.3599982963E+03
   39.5819734800E+00  -18.4472650300E+00  -51.7543153637E-03   66.7344744633E-03    1.1977795482E+00  101.3599990058E+03
   42.7084311400E+00  -17.2028096300E+00  -41.2712836768E-03   50.6067967661E-03    1.1977795927E+00  101.3599994055E+03
   45.2691140300E+00  -16.1835620300E+00  -29.8281285371E-03   39.6895244357E-03    1.1977797376E+00  101.3599996564E+03
   47.3664130900E+00  -15.3487651200E+00  -19.8187618849E-03   36.4746772141E-03    1.1977799212E+00  101.3599997598E+03
   49.5049991500E+00  -14.5980475800E+00  -13.8382370852E-03   37.0480625872E-03    1.1977800076E+00  101.3599997820E+03
